,country,name,title,woman_title,Woman Candidate Master (WCM),Candidate Master (CM),Woman FIDE Master (WFM),FIDE Master (FM),Woman International Master (WIM),International Master (IM),Woman Grandmaster (WGM),Grandmaster (GM)
0,SGP,"Lim, Kok Ann",CM,,,2012.0,,,,,,
1,GER,"Keller-Hermann, Edith",WGM,WGM,,,,,1950.0,,1978.0,
2,USA,"Levy, Louis",FM,,,,,,,,,
3,GER,"Ousatchi, Mark",FM,,,,,,,,,
4,RUS,"Averbakh, Yuri L",GM,,,,,,,1951.0,,1952.0
5,RUS,"Khasin, Abram",IM,,,,,,,,,
6,RUS,"Kukharev, Nikolay",FM,,,,,,,,,
7,AUT,"Nowotny, Heinz",FM,,,,,,,,,
8,RUS,"Vatnikov, Josif E",IM,,,,,,,1977.0,,
9,TUN,"Belkadi, Ridha",IM,,,,,,,1974.0,,
10,ARG,"De La Vega, Hector",FM,,,,,,,,,
11,CZE,"Eretova, Kveta",WGM,WGM,,,,,1957.0,,1986.0,
12,AUT,"Waller, Helmut",FM,,,,,,,,,
13,AUT,"Dueckstein, Andreas",IM,,,,,,,,,
14,RUS,"Rutman, Aleksandr",FM,,,,,,,,,
15,RUS,"Zemliakov, Valentin",FM,,,,,,,,,
16,RUS,"Gusjkov, Yuri P.",FM,,,,,,,,,
17,POL,"Litmanowicz, Miroslawa",WIM,WIM,,,,,1967.0,,,
18,RUS,"Vagner, Grigorij",FM,,,,,,,,,
19,NED,"Bouwmeester, Hans",IM,,,,,,,1954.0,,
20,GER,"Hoffmann, Hans",FM,,,,,,,,,
21,SRB,"Nedeljkovic, Verica",WGM,WGM,,,,,1954.0,,1978.0,
22,VEN,"Sanchez Pouso, Celso Estanislao",FM,,,,,2014.0,,,,
23,RUS,"Shevtsov, Pavel",FM,,,,,,,,,
24,RUS,"Trinos, Viacheslav",FM,,,,,2004.0,,,,
25,RUS,"Trotsenko, Evgenia",WFM,WFM,,,,,,,,
26,SRB,"Basta, Dane",FM,,,,,,,,,
27,RUS,"Brants, Efim",FM,,,,,,,,,
28,GER,"Heil, Siegfried",FM,,,,,,,,,
29,SRB,"Ivkovic, Dusan",FM,,,,,,,,,
30,USA,"Kaminsky, Oleg",FM,,,,,,,,,
31,RUS,"Krogius, Nikolai V",GM,,,,,,,1963.0,,1964.0
32,RUS,"Kuznetzov, Adolf",FM,,,,,,,,,
33,SRB,"Matanovic, Aleksandar",GM,,,,,,,1951.0,,1955.0
34,SRB,"Petrovic, Petar",FM,,,,,1985.0,,,,
35,GER,"Soos, Bela",IM,,,,,,,1967.0,,
36,VEN,"Tapaszto Binet, Laszlo",CM,,,2014.0,,,,,,
37,RUS,"Toprover, Viktor G.",FM,,,,,,,,,
38,USA,"Tylevich, David",FM,,,,,,,,,
39,RUS,"Zajas, Evgeny",FM,,,,,,,,,
40,SUI,"Bhend, Edwin",IM,,,,,,,1960.0,,
41,BIH,"Bogdanovic, Rajko",IM,,,,,,,1963.0,,
42,USA,"Curdo, John",FM,,,,,,,,,
43,GER,"Ditt, Egon",FM,,,,,,,,,
44,ENG,"Franklin, Michael J",FM,,,,,,,,,
45,USA,"Golyak, Isay G",FM,,,,,,,,,
46,CZE,"Gonsior, Evzen",FM,,,,,,,,,
47,RUS,"Kornilov, Anatoly",IM,,,,,,,2000.0,,
48,GER,"Meszaros, Ignac",CM,,,2005.0,,,,,,
49,EST,"Nei, Iivo",IM,,,,,,,,,
50,RUS,"Potapov, Evgeny A.",FM,,,,,,,,,
51,USA,"Rabinovich, Arkady",FM,,,,,,,,,
52,GER,"Schmitzer, Horst",FM,,,,,,,,,
53,SLO,"Bajec, Ivo",FM,,,,,,,,,
54,GER,"Capelan, Guenter",IM,,,,,,,,,
55,SRB,"Djurdjevic, Petar S",FM,,,,,,,,,
56,USA,"Fayvinov, Zakhar",FM,,,,,,,,,
57,GER,"Fronczek, Heinrich",FM,,,,,,,,,
58,ISR,"Kraidman, Yair",GM,,,,,,,,,
59,CRO,"Nikolac, Juraj",GM,,,,,,,1975.0,,1979.0
60,LAT,"Semasev, Kim",FM,,,,,,,,,
61,GER,"Stimpel, Franz",FM,,,,,2004.0,,,,
62,CZE,"Vykydal, Frantisek",CM,,,2013.0,,,,,,
63,USA,"Weinberger, Tibor",FM,,,,,,,,,
64,GER,"Braun, Gottfried, Dr.",FM,,,,,,,,,
65,NCA,"Davila, Edmundo",FM,,,,,,,,,
66,MEX,"De Winter Gallegos, Willy",IM,,,,,,,,,
67,VEN,"Diaz Carias, Salvador",FM,,,,,2021.0,,,,
68,SRB,"Ivkov, Borislav",GM,,,,,,,1954.0,,1955.0
69,ISR,"Kagan, Yosef",FM,,,,,,,,,
70,GER,"Ljubarskij, Juri",FM,,,,,2006.0,,,,
71,RUS,"Margolit, Remir B.",IM,,,,,,,,,
72,CZE,"Nun, Josef",IM,,,,,,,1976.0,,
73,BUL,"Padevsky, Nikola",GM,,,,,,,,,
74,ENG,"Penrose, Jonathan",GM,,,,,,,1961.0,,1993.0
75,USA,"Popovych, Orest",FM,,,,,,,,,
76,GER,"Rosen, Willy",FM,,,,,,,,,
77,GER,"Rotstein, Jefim",FM,,,,,,,,,
78,ITA,"Scafarelli, Francesco",IM,,,,,,,1957.0,,
79,USA,"Sherwin, James T",IM,,,,,,,1958.0,,
80,SRB,"Sokolov, Vladimir",FM,,,,,,,,,
81,RUS,"Sveshnikov, Yuriy",FM,,,,,,,,,
82,GER,"Bakhmatov, Eduard",FM,,,,,2005.0,,,,
83,GER,"Behle, Karl-Willi",FM,,,,,,,,,
84,ISR,"Bersutzki, Gregory",FM,,,,,1985.0,,,,
85,USA,"Blumenfeld, Rudy",FM,,,,,,,,,
86,BEL,"Boey, Josef",IM,,,,,,,1973.0,,
87,RUS,"Bykhovsky, Anatoly A",IM,,,,,,,1982.0,,
88,ENG,"Cafferty, Bernard",FM,,,,,,,,,
89,MNE,"Cetkovic, Momcilo",FM,,,,,,,,,
90,USA,"Dahlberg, Ivars",FM,,,,,,,,,
