,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
0,USA-chJ,?,1955-01-01,"Thomason, J.","Fischer, Robert James",0-1,,,"Fischer, Robert James","Thomason, J."
1,USA-chJ,?,1955-01-01,"Fischer, Robert James","Warner, K.",0-1,,,"Warner, K.","Fischer, Robert James"
2,USA-chJ,?,1955-01-01,"Fischer, Robert James","Pupols, Viktors",0-1,,,"Pupols, Viktors","Fischer, Robert James"
3,USA-chJ,?,1955-01-01,"Fischer, Robert James","Ames, D.",1/2-1/2,,,draw,draw
4,USA-chJ,?,1955-01-01,"Whisler, W.","Fischer, Robert James",1/2-1/2,,,draw,draw
5,Havana sim,Havana,1956-01-01,"Fischer, Robert James","Casado, J.",1/2-1/2,,,draw,draw
6,CAN-op,Montreal,1956-01-01,"Fischer, Robert James","Fox, Maurice",0-1,,,"Fox, Maurice","Fischer, Robert James"
7,CAN-op,Montreal,1956-01-01,"Fischer, Robert James","Matthai, H.",1/2-1/2,,,draw,draw
8,CAN-op,Montreal,1956-01-01,"Fischer, Robert James","Sharp, C.",1-0,,,"Fischer, Robert James","Sharp, C."
9,CAN-op,Montreal,1956-01-01,"Anderson, Frank Ross","Fischer, Robert James",1/2-1/2,,,draw,draw
10,CAN-op,Montreal,1956-01-01,"Sobel, Robert","Fischer, Robert James",1-0,,,"Sobel, Robert","Fischer, Robert James"
11,CAN-op,Montreal,1956-01-01,"Walz, W.","Fischer, Robert James",0-1,,,"Fischer, Robert James","Walz, W."
12,CAN-op,Montreal,1956-01-01,"Bernstein, Sidney Norman","Fischer, Robert James",0-1,,,"Fischer, Robert James","Bernstein, Sidney Norman"
13,New York Rosenwald,New York,1956-01-01,"Shainswit, George","Fischer, Robert James",1/2-1/2,,,draw,draw
14,New York,New York,1956-01-01,"Fischer, Robert James","Pavey, Max",0-1,,,"Pavey, Max","Fischer, Robert James"
15,New York,New York,1956-01-01,"Fischer, Robert James","Vine, K.",1/2-1/2,,,draw,draw
