,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
0,Wch U16,Wattignies,1976-08-27,"Chandler, Murray G","Kasparov, Gary",1-0,,,"Chandler, Murray G","Kasparov, Gary"
1,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Galle, Andre",1-0,,,"Kasparov, Gary","Galle, Andre"
2,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Grinberg, Nir",1/2-1/2,,,draw,draw
3,Wch U16,Wattignies,1976-01-01,"Roos, Louis","Kasparov, Gary",0-1,,,"Kasparov, Gary","Roos, Louis"
4,Wch U16,Wattignies,1976-01-01,"Van der Wiel, John TH","Kasparov, Gary",1-0,,,"Van der Wiel, John TH","Kasparov, Gary"
5,Wch U16,Wattignies,1976-01-01,"Dunne, David Joseph","Kasparov, Gary",0-1,,,"Kasparov, Gary","Dunne, David Joseph"
6,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Rogers, Ian",1-0,,1865,"Kasparov, Gary","Rogers, Ian"
7,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Cramling, Pia",1/2-1/2,,,draw,draw
8,Wch U16,Wattignies,1976-01-01,"Kasparov, Gary","Sendur, Adnan",1-0,,,"Kasparov, Gary","Sendur, Adnan"
9,Telechess ol1 7778,telex,1977-01-01,"Kasparov, Gary","West, Guy",1-0,,,"Kasparov, Gary","West, Guy"
10,URS-ch sf,Daugavpils,1978-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",1/2-1/2,2570,2200,draw,draw
11,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Panchenko, Alexander N",1-0,2200,2495,"Kasparov, Gary","Panchenko, Alexander N"
12,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Palatnik, Semon",1-0,,2490,"Kasparov, Gary","Palatnik, Semon"
13,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Lputian, Smbat G",1-0,2200,2200,"Kasparov, Gary","Lputian, Smbat G"
14,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Kupreichik, Viktor D",1/2-1/2,2200,2200,draw,draw
15,URS-ch sf,Daugavpils,1978-01-01,"Tseitlin, Mark D","Kasparov, Gary",0-1,2480,2200,"Kasparov, Gary","Tseitlin, Mark D"
16,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Korsunsky, Rostislav R",1-0,2200,2200,"Kasparov, Gary","Korsunsky, Rostislav R"
17,URS-ch sf,Daugavpils,1978-01-01,"Kasparov, Gary","Ivanov, Igor V",1/2-1/2,,2415,draw,draw
18,URS-ch sf,Daugavpils,1978-01-01,"Kapengut, Albert Z","Kasparov, Gary",1/2-1/2,2465,2200,draw,draw
19,URS-ch sf,Daugavpils,1978-01-01,"Alburt, Lev O","Kasparov, Gary",0-1,2510,2200,"Kasparov, Gary","Alburt, Lev O"
20,URS-ch sf,Daugavpils,1978-01-01,"Kholmov, Ratmir D","Kasparov, Gary",1-0,2540,2200,"Kholmov, Ratmir D","Kasparov, Gary"
21,URS-ch sf,Daugavpils,1978-01-01,"Nikolaevsky, Yuri V","Kasparov, Gary",1/2-1/2,2200,2200,draw,draw
22,URS-ch sf,Daugavpils,1978-01-01,"Mikhalchishin, Adrian","Kasparov, Gary",1/2-1/2,2460,2200,draw,draw
23,Minsk,Minsk,1978-01-01,"Kasparov, Gary","Lutikov, Anatoly S",1-0,,2540,"Kasparov, Gary","Lutikov, Anatoly S"
24,Moscow,Moscow,1978-01-01,"Kasparov, Gary","Butnorius, Algimantas",1-0,,,"Kasparov, Gary","Butnorius, Algimantas"
25,URS-ch46,Tbilisi,1978-01-01,"Tukmakov, Vladimir B","Kasparov, Gary",1/2-1/2,2570,,draw,draw
26,URS-ch46,Tbilisi,1978-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",1-0,2550,,"Tseshkovsky, Vitaly","Kasparov, Gary"
27,URS-ch46,Tbilisi,1978-01-01,"Geller, Efim P","Kasparov, Gary",1/2-1/2,2590,,draw,draw
28,URS-ch46,Tbilisi,1978-01-01,"Timoshchenko, Gennadi A","Kasparov, Gary",1-0,2530,,"Timoshchenko, Gennadi A","Kasparov, Gary"
29,URS-ch46,Tbilisi,1978-01-01,"Gulko, Boris F","Kasparov, Gary",1/2-1/2,2565,,draw,draw
30,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Bagirov, Vladimir",1/2-1/2,,2505,draw,draw
31,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Beliavsky, Alexander G",1-0,,2530,"Kasparov, Gary","Beliavsky, Alexander G"
32,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Dorfman, Josif D",1-0,,2550,"Kasparov, Gary","Dorfman, Josif D"
33,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Giorgadze, Tamaz",1/2-1/2,,2535,draw,draw
34,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Kuzmin, Gennadi P",1-0,,2560,"Kasparov, Gary","Kuzmin, Gennadi P"
35,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Polugaevsky, Lev",1-0,,2620,"Kasparov, Gary","Polugaevsky, Lev"
36,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Romanishin, Oleg M",1/2-1/2,,2610,draw,draw
37,URS-ch46,Tbilisi,1978-01-01,"Kasparov, Gary","Tal, Mihail",1/2-1/2,,2625,draw,draw
38,URS-ch46,Tbilisi,1978-01-01,"Sveshnikov, Evgeny","Kasparov, Gary",1/2-1/2,2565,,draw,draw
39,URS-ch46,Tbilisi,1978-01-01,"Razuvaev, Yuri S","Kasparov, Gary",1-0,2465,,"Razuvaev, Yuri S","Kasparov, Gary"
40,URS-ch46,Tbilisi,1978-01-01,"Mikhalchishin, Adrian","Kasparov, Gary",1-0,2460,,"Mikhalchishin, Adrian","Kasparov, Gary"
41,URS-ch46,Tbilisi,1978-01-01,"Makarichev, Sergey","Kasparov, Gary",1/2-1/2,2495,,draw,draw
42,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Vukic, Milan",1-0,,2485,"Kasparov, Gary","Vukic, Milan"
43,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Bukic, Enver",1-0,,2495,"Kasparov, Gary","Bukic, Enver"
44,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Kurajica, Bojan",1/2-1/2,,2515,draw,draw
45,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Marovic, Drazen",1-0,,2470,"Kasparov, Gary","Marovic, Drazen"
46,Banja Luka,Banja Luka,1979-01-01,"Garcia Gonzales, Guillermo","Kasparov, Gary",1/2-1/2,,,draw,draw
47,Banja Luka,Banja Luka,1979-01-01,"Andersson, Ulf","Kasparov, Gary",1/2-1/2,2560,,draw,draw
48,Banja Luka,Banja Luka,1979-01-01,"Adorjan, Andras","Kasparov, Gary",1/2-1/2,2525,,draw,draw
49,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Matanovic, Aleksandar",1/2-1/2,,2495,draw,draw
50,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Marjanovic, Slavoljub",1-0,,2505,"Kasparov, Gary","Marjanovic, Slavoljub"
51,Banja Luka,Banja Luka,1979-01-01,"Smejkal, Jan","Kasparov, Gary",1/2-1/2,2550,,draw,draw
52,Banja Luka,Banja Luka,1979-01-01,"Sibarevic, Milenko","Kasparov, Gary",0-1,2355,,"Kasparov, Gary","Sibarevic, Milenko"
53,Banja Luka,Banja Luka,1979-01-01,"Knezevic, Milorad","Kasparov, Gary",0-1,2500,,"Kasparov, Gary","Knezevic, Milorad"
54,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Petrosian, Tigran V",1/2-1/2,,2610,draw,draw
55,Banja Luka,Banja Luka,1979-01-01,"Kasparov, Gary","Browne, Walter S",1-0,,2540,"Kasparov, Gary","Browne, Walter S"
56,Banja Luka,Banja Luka,1979-01-01,"Hernandez, Roman","Kasparov, Gary",0-1,2500,,"Kasparov, Gary","Hernandez, Roman"
57,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Lerner, Konstantin Z",0-1,2545,2475,"Lerner, Konstantin Z","Kasparov, Gary"
58,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Romanishin, Oleg M",1/2-1/2,2545,2560,draw,draw
59,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Razuvaev, Yuri S",1/2-1/2,2545,2470,draw,draw
60,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Rashkovsky, Nukhim N",1/2-1/2,2545,2500,draw,draw
61,URS-ch47,Minsk,1979-01-01,"Makarichev, Sergey","Kasparov, Gary",1/2-1/2,2500,2545,draw,draw
62,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Kupreichik, Viktor D",1-0,2545,2540,"Kasparov, Gary","Kupreichik, Viktor D"
63,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Jussupow, Artur",1-0,2545,2490,"Kasparov, Gary","Jussupow, Artur"
64,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Giorgadze, Tamaz",1-0,2545,2535,"Kasparov, Gary","Giorgadze, Tamaz"
65,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Dolmatov, Sergey",1-0,2545,2495,"Kasparov, Gary","Dolmatov, Sergey"
66,URS-ch47,Minsk,1979-01-01,"Kasparov, Gary","Anikaev, Yuri N",0-1,2545,2455,"Anikaev, Yuri N","Kasparov, Gary"
67,URS-ch47,Minsk,1979-01-01,"Geller, Efim P","Kasparov, Gary",1/2-1/2,2550,2545,draw,draw
68,URS-ch47,Minsk,1979-01-01,"Beliavsky, Alexander G","Kasparov, Gary",1-0,2595,2545,"Beliavsky, Alexander G","Kasparov, Gary"
69,URS-ch47,Minsk,1979-01-01,"Balashov, Yuri S","Kasparov, Gary",1/2-1/2,2600,2545,draw,draw
70,URS-ch47,Minsk,1979-01-01,"Sveshnikov, Evgeny","Kasparov, Gary",0-1,2545,2545,"Kasparov, Gary","Sveshnikov, Evgeny"
71,URS-ch47,Minsk,1979-01-01,"Tseshkovsky, Vitaly","Kasparov, Gary",1/2-1/2,2560,2545,draw,draw
72,URS-ch47,Minsk,1979-01-01,"Tal, Mihail","Kasparov, Gary",1/2-1/2,2615,2545,draw,draw
73,URS-ch47,Minsk,1979-01-01,"Vaganian, Rafael A","Kasparov, Gary",0-1,2570,2545,"Kasparov, Gary","Vaganian, Rafael A"
74,URS Spartakiad,URS,1979-01-01,"Kudriashov, Anatoli","Kasparov, Gary",0-1,2380,2200,"Kasparov, Gary","Kudriashov, Anatoli"
