,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
0,Wch U10,Cannes,1997-01-01,"Bellaiche, Antony","Nakamura, Hikaru",1-0,,,"Bellaiche, Antony","Nakamura, Hikaru"
1,Wch U10,Cannes,1997-01-01,"Nakamura, Hikaru","El Mikati, Mohamad",1-0,,,"Nakamura, Hikaru","El Mikati, Mohamad"
2,Wch U10,Cannes,1997-01-01,"Nakamura, Hikaru","Eryomenko, Volodymyr",1-0,,,"Nakamura, Hikaru","Eryomenko, Volodymyr"
3,Wch U10,Cannes,1997-01-01,"Amin, Bassem","Nakamura, Hikaru",1-0,,,"Amin, Bassem","Nakamura, Hikaru"
4,Wch U10,Cannes,1997-01-01,"Lepan, Marvin","Nakamura, Hikaru",0-1,,,"Nakamura, Hikaru","Lepan, Marvin"
5,Wch U10,Cannes,1997-01-01,"Nakamura, Hikaru","Baramietze, David",0-1,,,"Baramietze, David","Nakamura, Hikaru"
6,Wch U10,Cannes,1997-01-01,"Nakamura, Hikaru","Djukic, Stevan",1-0,,,"Nakamura, Hikaru","Djukic, Stevan"
7,World op,Philadelphia,1998-06-28,"Knecht, Mark E","Nakamura, Hikaru",1-0,2200.0,,"Knecht, Mark E","Nakamura, Hikaru"
8,Cardoza US op,Kona,1998-08-04,"Thinnsen, James A","Nakamura, Hikaru",1-0,2350.0,,"Thinnsen, James A","Nakamura, Hikaru"
9,Cardoza US op,Kona,1998-08-09,"Nakamura, Hikaru","Krush, Irina",1-0,,2275.0,"Nakamura, Hikaru","Krush, Irina"
10,Eastern op,Washington DC,1998-12-28,"Meyer, Eugene B","Nakamura, Hikaru",1-0,2465.0,,"Meyer, Eugene B","Nakamura, Hikaru"
11,New York State-ch,New York,1998-01-01,"Nakamura, Hikaru","Zemanian, Lewis",1-0,,,"Nakamura, Hikaru","Zemanian, Lewis"
12,New York State-ch,New York,1998-01-01,"Felber, Joseph J","Nakamura, Hikaru",0-1,2150.0,,"Nakamura, Hikaru","Felber, Joseph J"
13,New York State-ch,New York,1998-01-01,"Farrell, Gary","Nakamura, Hikaru",1/2-1/2,,,draw,draw
14,Wch U12,Oropesa del Mar,1998-01-01,"Nakamura, Hikaru","Barrientos, Sergio",0-1,,,"Barrientos, Sergio","Nakamura, Hikaru"
15,Wch U12,Oropesa del Mar,1998-01-01,"Arngrimsson, Dagur","Nakamura, Hikaru",1/2-1/2,,,draw,draw
16,Wch U12,Oropesa del Mar,1998-01-01,"Nakamura, Hikaru","Kim, Alexey",0-1,,2200.0,"Kim, Alexey","Nakamura, Hikaru"
17,US-chT Amateur East,Parsippany,1998-01-01,"Mac Intyre, Paul","Nakamura, Hikaru",1-0,2285.0,,"Mac Intyre, Paul","Nakamura, Hikaru"
