game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
5fe2a069-e8d1-4033-bd94-811e04b8fc74,1,USA-chJ,?,1955.??.??,?,"Thomason, J.","Fischer, Robert James",0-1,,,"Fischer, Robert James",,"Thomason, J.",,0,E91,2022-07-25T14:27:03+0000,Fischer.pgn
d5be20b9-c264-4c47-88b5-45da38169ace,2,USA-chJ,?,1955.??.??,?,"Fischer, Robert James","Warner, K.",0-1,,,"Warner, K.",,"Fischer, Robert James",,0,B72,2022-07-25T14:27:03+0000,Fischer.pgn
3fd407e9-50f3-403c-917b-9aef4eb38ebd,3,USA-chJ,?,1955.??.??,?,"Fischer, Robert James","Pupols, Viktors",0-1,,,"Pupols, Viktors",,"Fischer, Robert James",,0,C40,2022-07-25T14:27:03+0000,Fischer.pgn
2ba20a72-7cf8-4d36-ab6d-32d8fd06a46c,4,USA-chJ,?,1955.??.??,?,"Fischer, Robert James","Ames, D.",1/2-1/2,,,draw,,draw,,0,C55,2022-07-25T14:27:03+0000,Fischer.pgn
5278280f-b970-489d-b96d-a685cc970d25,5,USA-chJ,?,1955.??.??,?,"Whisler, W.","Fischer, Robert James",1/2-1/2,,,draw,,draw,,0,E81,2022-07-25T14:27:03+0000,Fischer.pgn
02f1db42-ba53-4649-92f9-fc28e2db2860,6,Havana sim,Havana,1956.??.??,?,"Fischer, Robert James","Casado, J.",1/2-1/2,,,draw,,draw,,0,B32,2022-07-25T14:27:03+0000,Fischer.pgn
7b86a265-c63a-43e6-8050-af1592f00016,7,CAN-op,Montreal,1956.??.??,?,"Fischer, Robert James","Fox, Maurice",0-1,,,"Fox, Maurice",,"Fischer, Robert James",,0,A05,2022-07-25T14:27:03+0000,Fischer.pgn
1ea82074-49cd-4b9e-8555-45ca47fa18a4,8,CAN-op,Montreal,1956.??.??,?,"Fischer, Robert James","Matthai, H.",1/2-1/2,,,draw,,draw,,0,B77,2022-07-25T14:27:03+0000,Fischer.pgn
03ee965a-d0e1-4dee-b1dd-d5e3fcffc40b,9,CAN-op,Montreal,1956.??.??,?,"Fischer, Robert James","Sharp, C.",1-0,,,"Fischer, Robert James",,"Sharp, C.",,0,C84,2022-07-25T14:27:03+0000,Fischer.pgn
359e17a6-ddb1-4bdf-aa3f-c2178416a1a3,10,CAN-op,Montreal,1956.??.??,?,"Anderson, Frank Ross","Fischer, Robert James",1/2-1/2,,,draw,,draw,,0,B93,2022-07-25T14:27:03+0000,Fischer.pgn
787a2838-462c-484f-bf21-fc016ae354e1,11,CAN-op,Montreal,1956.??.??,?,"Sobel, Robert","Fischer, Robert James",1-0,,,"Sobel, Robert",,"Fischer, Robert James",,0,B70,2022-07-25T14:27:03+0000,Fischer.pgn
9e4bfe59-2137-43aa-bcf8-3cb336cb5afc,12,CAN-op,Montreal,1956.??.??,?,"Walz, W.","Fischer, Robert James",0-1,,,"Fischer, Robert James",,"Walz, W.",,0,B25,2022-07-25T14:27:03+0000,Fischer.pgn
e52269d6-c7cf-4007-9861-c3f3675c0a6c,13,CAN-op,Montreal,1956.??.??,?,"Bernstein, Sidney Norman","Fischer, Robert James",0-1,,,"Fischer, Robert James",,"Bernstein, Sidney Norman",,0,D00,2022-07-25T14:27:04+0000,Fischer.pgn
3f68c31b-39ae-484b-8463-12dbadcf3456,14,New York Rosenwald,New York,1956.??.??,?,"Shainswit, George","Fischer, Robert James",1/2-1/2,,,draw,,draw,,0,E68,2022-07-25T14:27:04+0000,Fischer.pgn
a57b948e-13f2-4cc5-86a1-224f3c1cacdd,15,New York,New York,1956.??.??,?,"Fischer, Robert James","Pavey, Max",0-1,,,"Pavey, Max",,"Fischer, Robert James",,0,A05,2022-07-25T14:27:04+0000,Fischer.pgn
aa393793-730d-4800-abfd-bfbedd4ad719,16,New York,New York,1956.??.??,?,"Fischer, Robert James","Vine, K.",1/2-1/2,,,draw,,draw,,0,B32,2022-07-25T14:27:04+0000,Fischer.pgn
b170c860-73a2-4937-b54b-06586411025e,17,New York,New York,1956.??.??,?,"Tomargo, J.","Fischer, Robert James",0-1,,,"Fischer, Robert James",,"Tomargo, J.",,0,B22,2022-07-25T14:27:04+0000,Fischer.pgn
ee3c22a0-9291-457b-8610-5ed58c3040eb,18,New York,New York,1956.??.??,?,"Turner, Abe","Fischer, Robert James",1-0,,,"Turner, Abe",,"Fischer, Robert James",,0,E69,2022-07-25T14:27:04+0000,Fischer.pgn
8a00de91-35d9-4f82-8f2e-e3366013d050,19,New York Rosenwald,New York,1956.??.??,?,"Byrne, Donald","Fischer, Robert James",0-1,,,"Fischer, Robert James",,"Byrne, Donald",,0,D97,2022-07-25T14:27:04+0000,Fischer.pgn
f753c69e-b42e-4bfd-9382-4f5475c371e7,20,New York,New York,1956.??.??,?,"Fischer, Robert James","Baron, S.",1-0,,,"Fischer, Robert James",,"Baron, S.",,0,C98,2022-07-25T14:27:04+0000,Fischer.pgn
19f6e04b-0490-4a1a-85f0-f047ddf28752,21,New York Rosenwald,New York,1956.??.??,?,"Reshevsky, Samuel Herman","Fischer, Robert James",1-0,,,"Reshevsky, Samuel Herman",,"Fischer, Robert James",,0,E63,2022-07-25T14:27:04+0000,Fischer.pgn
133c8f43-9db0-4de3-94c3-02febfd39f30,22,New York Rosenwald,New York,1956.??.??,?,"Turner, Abe","Fischer, Robert James",1-0,,,"Turner, Abe",,"Fischer, Robert James",,0,E63,2022-07-25T14:27:04+0000,Fischer.pgn
bc7bd625-23fe-4c8e-9f05-80009c60c0ab,23,New York Rosenwald,New York,1956.??.??,?,"Bisguier, Arthur Bernard","Fischer, Robert James",1-0,,,"Bisguier, Arthur Bernard",,"Fischer, Robert James",,0,E78,2022-07-25T14:27:04+0000,Fischer.pgn
