game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
2742891e-9931-4861-9be9-ac9a76d1b296,1,Wch U16,Wattignies,1976.08.27,?,"Chandler, Murray G","Kasparov, Gary",1-0,,,"Chandler, Murray G",,"Kasparov, Gary",,0,B22,2022-07-14T23:55:21+0000,Kasparov.pgn
e070ca2a-9e78-4782-93b0-100556765cf9,2,Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Galle, Andre",1-0,,,"Kasparov, Gary",,"Galle, Andre",,0,C11,2022-07-14T23:55:21+0000,Kasparov.pgn
b316c5d1-2db8-4194-bb03-1efd2da430cd,3,Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Grinberg, Nir",1/2-1/2,,,draw,,draw,,0,B45,2022-07-14T23:55:21+0000,Kasparov.pgn
e04a4815-b484-41bc-9d62-d8ad8c9e3042,4,Wch U16,Wattignies,1976.??.??,?,"Roos, Louis","Kasparov, Gary",0-1,,,"Kasparov, Gary",,"Roos, Louis",,0,B50,2022-07-14T23:55:21+0000,Kasparov.pgn
31f060cd-5f26-43db-b263-b775c702d476,5,Wch U16,Wattignies,1976.??.??,?,"Van der Wiel, John TH","Kasparov, Gary",1-0,,,"Van der Wiel, John TH",,"Kasparov, Gary",,0,B93,2022-07-14T23:55:21+0000,Kasparov.pgn
72959a82-5474-4585-aba2-6537b9e584ed,6,Wch U16,Wattignies,1976.??.??,?,"Dunne, David Joseph","Kasparov, Gary",0-1,,,"Kasparov, Gary",,"Dunne, David Joseph",,0,B51,2022-07-14T23:55:21+0000,Kasparov.pgn
0af6ca11-a5a8-46c8-a285-c6cae56b024e,7,Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Rogers, Ian",1-0,,1865,"Kasparov, Gary",,"Rogers, Ian",1865,0,B33,2022-07-14T23:55:21+0000,Kasparov.pgn
1fec10f8-fc90-4185-aaba-f0d0f69a7290,8,Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Cramling, Pia",1/2-1/2,,,draw,,draw,,0,C42,2022-07-14T23:55:21+0000,Kasparov.pgn
5ab57102-3344-4866-b441-586f04c4a226,9,Wch U16,Wattignies,1976.??.??,?,"Kasparov, Gary","Sendur, Adnan",1-0,,,"Kasparov, Gary",,"Sendur, Adnan",,0,B08,2022-07-14T23:55:21+0000,Kasparov.pgn
7a1ba09a-6397-4342-b04f-3a16edba8a5d,10,Telechess ol1 7778,telex,1977.??.??,?,"Kasparov, Gary","West, Guy",1-0,,,"Kasparov, Gary",,"West, Guy",,0,B40,2022-07-14T23:55:21+0000,Kasparov.pgn
d93ec1b3-79bb-4b62-a885-a4c32a8d042d,11,URS-ch sf,Daugavpils,1978.??.??,?,"Tseshkovsky, Vitaly","Kasparov, Gary",1/2-1/2,2570,2200,draw,,draw,,0,B19,2022-07-14T23:55:21+0000,Kasparov.pgn
261a5d1f-ee53-4e3a-8b86-3b96d4966292,12,URS-ch sf,Daugavpils,1978.??.??,?,"Kasparov, Gary","Panchenko, Alexander N",1-0,2200,2495,"Kasparov, Gary",2200,"Panchenko, Alexander N",2495,-295,B67,2022-07-14T23:55:21+0000,Kasparov.pgn
1c696ad0-76f3-4a74-859a-01d6d9526f40,13,URS-ch sf,Daugavpils,1978.??.??,?,"Kasparov, Gary","Palatnik, Semon",1-0,,2490,"Kasparov, Gary",,"Palatnik, Semon",2490,0,B04,2022-07-14T23:55:21+0000,Kasparov.pgn
1c3e8da7-9e61-40ff-964b-50d6cad004cb,14,URS-ch sf,Daugavpils,1978.??.??,?,"Kasparov, Gary","Lputian, Smbat G",1-0,2200,2200,"Kasparov, Gary",2200,"Lputian, Smbat G",2200,0,D37,2022-07-14T23:55:21+0000,Kasparov.pgn
c056ea91-f0d1-4fed-9a5e-51a8d9166370,15,URS-ch sf,Daugavpils,1978.??.??,?,"Kasparov, Gary","Kupreichik, Viktor D",1/2-1/2,2200,2200,draw,,draw,,0,C61,2022-07-14T23:55:21+0000,Kasparov.pgn
a344d981-7f0c-4a95-a3df-9498f635fe53,16,URS-ch sf,Daugavpils,1978.??.??,?,"Tseitlin, Mark D","Kasparov, Gary",0-1,2480,2200,"Kasparov, Gary",2200,"Tseitlin, Mark D",2480,-280,B13,2022-07-14T23:55:21+0000,Kasparov.pgn
bf6be16d-f7cf-41f4-98e2-75c1bac43aae,17,URS-ch sf,Daugavpils,1978.??.??,?,"Kasparov, Gary","Korsunsky, Rostislav R",1-0,2200,2200,"Kasparov, Gary",2200,"Korsunsky, Rostislav R",2200,0,B85,2022-07-14T23:55:21+0000,Kasparov.pgn
03f323ef-b30f-484d-a0fa-0ac110f64ad7,18,URS-ch sf,Daugavpils,1978.??.??,?,"Kasparov, Gary","Ivanov, Igor V",1/2-1/2,,2415,draw,,draw,,0,B38,2022-07-14T23:55:21+0000,Kasparov.pgn
a030b277-7c7e-4ef6-85c6-841eb9a8cb7a,19,URS-ch sf,Daugavpils,1978.??.??,?,"Kapengut, Albert Z","Kasparov, Gary",1/2-1/2,2465,2200,draw,,draw,,0,B19,2022-07-14T23:55:21+0000,Kasparov.pgn
ea2ee417-ca12-43b2-8d57-be27bc2dce0b,20,URS-ch sf,Daugavpils,1978.??.??,?,"Alburt, Lev O","Kasparov, Gary",0-1,2510,2200,"Kasparov, Gary",2200,"Alburt, Lev O",2510,-310,E74,2022-07-14T23:55:21+0000,Kasparov.pgn
