game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
4f5b7ddc-ab2b-4ff3-aa07-f7583d113b7c,1,Wch U10,Cannes,1997.??.??,1,"Bellaiche, Antony","Nakamura, Hikaru",1-0,,,"Bellaiche, Antony",,"Nakamura, Hikaru",,0,E97,2022-07-15T18:12:54+0000,Nakamura.pgn
ced6ec9e-518d-46c9-9c4a-118553d58a14,2,Wch U10,Cannes,1997.??.??,2,"Nakamura, Hikaru","El Mikati, Mohamad",1-0,,,"Nakamura, Hikaru",,"El Mikati, Mohamad",,0,C11,2022-07-15T18:12:54+0000,Nakamura.pgn
e4e58811-dc88-42e2-9454-c3301a42f4e7,3,Wch U10,Cannes,1997.??.??,4,"Nakamura, Hikaru","Eryomenko, Volodymyr",1-0,,,"Nakamura, Hikaru",,"Eryomenko, Volodymyr",,0,B01,2022-07-15T18:12:54+0000,Nakamura.pgn
9534f0f4-d59d-48eb-a794-5fbfe3e09232,4,Wch U10,Cannes,1997.??.??,5,"Amin, Bassem","Nakamura, Hikaru",1-0,,,"Amin, Bassem",,"Nakamura, Hikaru",,0,A04,2022-07-15T18:12:54+0000,Nakamura.pgn
e7a05995-2c01-4f06-97f3-90d8ed00fd5c,5,Wch U10,Cannes,1997.??.??,7,"Lepan, Marvin","Nakamura, Hikaru",0-1,,,"Nakamura, Hikaru",,"Lepan, Marvin",,0,E60,2022-07-15T18:12:54+0000,Nakamura.pgn
8fe1649f-3134-4768-bbbc-58f6484764c5,6,Wch U10,Cannes,1997.??.??,8,"Nakamura, Hikaru","Baramietze, David",0-1,,,"Baramietze, David",,"Nakamura, Hikaru",,0,B23,2022-07-15T18:12:54+0000,Nakamura.pgn
526414cb-3e5b-4558-81de-7c477ae36b2e,7,Wch U10,Cannes,1997.??.??,10,"Nakamura, Hikaru","Djukic, Stevan",1-0,,,"Nakamura, Hikaru",,"Djukic, Stevan",,0,B23,2022-07-15T18:12:54+0000,Nakamura.pgn
a9b27f5b-974f-4c5c-9f06-fcdc33dd1943,8,World op,Philadelphia,1998.06.28,2,"Knecht, Mark E","Nakamura, Hikaru",1-0,2200,,"Knecht, Mark E",2200,"Nakamura, Hikaru",,0,A48,2022-07-15T18:12:54+0000,Nakamura.pgn
f218c098-ff89-4666-bbe7-53a54cbccd48,9,Cardoza US op,Kona,1998.08.04,4,"Thinnsen, James A","Nakamura, Hikaru",1-0,2350,,"Thinnsen, James A",2350,"Nakamura, Hikaru",,0,A45,2022-07-15T18:12:54+0000,Nakamura.pgn
83f464d7-6eaa-4f6b-9a4a-37f53b8ac46a,10,Cardoza US op,Kona,1998.08.09,9,"Nakamura, Hikaru","Krush, Irina",1-0,,2275,"Nakamura, Hikaru",,"Krush, Irina",2275,0,B67,2022-07-15T18:12:54+0000,Nakamura.pgn
a30f0dfc-b1f0-43ee-b81b-60aa772b9e68,11,Eastern op,Washington DC,1998.12.28,5,"Meyer, Eugene B","Nakamura, Hikaru",1-0,2465,,"Meyer, Eugene B",2465,"Nakamura, Hikaru",,0,A16,2022-07-15T18:12:54+0000,Nakamura.pgn
c42db517-3465-449a-9864-50e8fd002bb5,12,New York State-ch,New York,1998.??.??,1,"Nakamura, Hikaru","Zemanian, Lewis",1-0,,,"Nakamura, Hikaru",,"Zemanian, Lewis",,0,C47,2022-07-15T18:12:54+0000,Nakamura.pgn
d0f1a63c-3d29-43d7-939b-552c18cc428e,13,New York State-ch,New York,1998.??.??,5,"Felber, Joseph J","Nakamura, Hikaru",0-1,2150,,"Nakamura, Hikaru",,"Felber, Joseph J",2150,0,B33,2022-07-15T18:12:54+0000,Nakamura.pgn
80a7ace1-8df7-4bd4-a225-029673ddb9f1,14,New York State-ch,New York,1998.??.??,6,"Farrell, Gary","Nakamura, Hikaru",1/2-1/2,,,draw,,draw,,0,B20,2022-07-15T18:12:54+0000,Nakamura.pgn
d7eb01ac-62f7-41ce-aa7b-28bd9a01ed75,15,Wch U12,Oropesa del Mar,1998.??.??,1,"Nakamura, Hikaru","Barrientos, Sergio",0-1,,,"Barrientos, Sergio",,"Nakamura, Hikaru",,0,B23,2022-07-15T18:12:54+0000,Nakamura.pgn
81678b34-5adf-428f-b52c-9a6a16993fee,16,Wch U12,Oropesa del Mar,1998.??.??,6,"Arngrimsson, Dagur","Nakamura, Hikaru",1/2-1/2,,,draw,,draw,,0,B33,2022-07-15T18:12:54+0000,Nakamura.pgn
