iter	Passed	Remaining
0	1	1621
1	3	1769
2	5	1817
3	6	1728
4	8	1612
5	9	1544
6	11	1572
7	13	1655
8	15	1657
9	16	1654
10	18	1618
11	19	1576
12	20	1538
13	21	1507
14	22	1475
15	23	1461
16	28	1668
17	30	1659
18	31	1629
19	32	1603
20	33	1580
21	35	1559
22	38	1619
23	40	1627
24	41	1603
25	42	1582
26	43	1572
27	44	1558
28	47	1605
29	49	1596
30	50	1581
31	51	1563
32	53	1579
33	56	1610
34	58	1624
35	60	1631
36	62	1614
37	63	1602
38	64	1585
39	65	1569
40	66	1559
41	68	1561
42	69	1547
43	70	1532
44	71	1518
45	72	1504
46	77	1569
47	78	1559
48	79	1548
49	80	1536
50	82	1527
51	83	1523
52	84	1515
53	85	1503
54	86	1490
55	87	1478
56	88	1469
57	91	1488
58	93	1483
59	94	1473
60	95	1463
61	95	1452
62	97	1442
63	97	1432
64	98	1422
65	99	1413
66	100	1404
67	101	1396
68	102	1386
69	103	1377
70	106	1391
71	107	1389
72	109	1388
73	110	1381
74	111	1376
75	112	1368
76	113	1361
77	114	1353
78	115	1346
79	116	1339
80	117	1332
81	118	1325
82	119	1320
83	122	1340
84	124	1335
85	125	1331
86	126	1326
87	127	1320
88	128	1314
89	129	1307
90	130	1301
91	131	1295
92	132	1289
93	133	1283
94	134	1277
95	134	1266
96	137	1277
97	138	1277
98	140	1275
99	141	1271
100	142	1266
101	143	1261
102	144	1256
103	145	1251
104	146	1246
105	147	1241
106	148	1237
107	149	1232
108	150	1227
109	152	1236
110	154	1234
111	155	1231
112	156	1227
113	157	1222
114	158	1217
115	159	1213
116	160	1208
117	161	1204
118	162	1199
119	163	1195
120	163	1190
121	164	1186
122	166	1190
123	168	1192
124	169	1189
125	171	1186
126	172	1183
127	173	1180
128	174	1176
129	175	1173
130	176	1169
131	177	1165
132	178	1162
133	179	1158
134	180	1154
135	182	1158
136	184	1162
137	185	1160
138	186	1157
139	187	1153
140	188	1149
141	189	1145
142	190	1142
143	191	1139
144	192	1136
145	193	1133
146	194	1130
147	195	1127
148	198	1135
149	199	1132
150	201	1130
151	202	1128
152	203	1126
153	204	1123
154	205	1119
155	206	1116
156	207	1112
157	208	1109
158	209	1105
159	209	1102
160	210	1098
161	211	1096
162	215	1106
163	216	1105
164	217	1102
165	219	1101
166	220	1098
167	221	1095
168	222	1092
169	223	1090
170	224	1086
171	225	1083
172	226	1080
173	227	1077
174	229	1083
175	231	1082
176	232	1080
177	233	1077
178	234	1074
179	235	1071
180	236	1068
181	237	1065
182	238	1062
183	238	1059
184	239	1056
185	240	1054
186	241	1051
187	244	1054
188	245	1054
189	246	1052
190	247	1050
191	249	1048
192	250	1046
193	251	1043
194	252	1040
195	253	1037
196	253	1035
197	254	1032
198	255	1030
199	257	1028
200	259	1030
201	260	1030
202	262	1028
203	263	1026
204	264	1025
205	265	1023
206	266	1020
207	267	1018
208	268	1015
209	269	1013
210	270	1010
211	271	1008
212	272	1005
213	273	1003
214	276	1010
215	278	1009
216	279	1006
217	280	1004
218	281	1002
219	281	999
220	282	997
221	283	994
222	284	992
223	285	990
224	286	987
225	287	985
226	289	987
227	291	987
228	292	985
229	293	983
230	294	980
231	295	978
232	296	976
233	297	974
234	299	973
235	299	971
236	300	968
237	301	966
238	302	964
239	303	962
240	306	964
241	307	963
242	308	961
243	309	959
244	310	957
245	312	956
246	314	957
247	315	956
248	316	955
249	317	953
250	318	951
251	321	953
252	322	952
253	323	950
254	324	948
255	325	947
256	327	945
257	328	943
258	329	941
259	330	939
260	330	937
261	331	935
262	332	932
263	333	930
264	336	932
265	337	931
266	338	930
267	339	928
268	340	926
269	341	924
270	342	922
271	343	920
272	344	918
273	345	916
274	346	913
275	347	911
276	348	909
277	350	910
278	352	910
279	353	909
280	354	907
281	355	905
282	356	902
283	357	900
284	358	898
285	359	896
286	360	894
287	361	892
288	362	890
289	362	888
290	363	886
291	366	887
292	367	887
293	369	886
294	370	884
295	371	882
296	372	880
297	373	878
298	374	876
299	375	875
300	375	872
301	376	871
302	377	869
303	378	867
304	379	865
305	382	867
306	383	866
307	384	864
308	385	862
309	386	860
310	387	858
311	388	856
312	389	855
313	390	853
314	391	851
315	392	849
316	393	847
317	394	845
318	395	843
319	398	847
320	399	846
321	401	844
322	402	843
323	403	841
324	404	840
325	405	838
326	406	836
327	407	834
328	408	832
329	409	831
330	410	829
331	412	830
332	414	829
333	415	828
334	416	826
335	417	824
336	418	822
337	419	820
338	420	818
339	420	817
340	421	815
341	422	813
342	423	811
343	424	810
344	425	808
345	427	808
346	429	808
347	430	806
348	431	805
349	433	804
350	434	802
351	434	800
