Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
4.0,178.0,3.0,15.6,0.0,2.7,8,9.0,0.0,5.0,2.36,749.0
2.0,425.0,3.0,15.6,0.0,1.1,4,9.0,1.0,5.0,2.0,449.0
16.0,258.0,3.0,13.3,3.0,2.3,8,15.0,1.0,7.0,1.2,1460.0
4.0,38.0,1.0,15.6,13.0,2.8,16,17.0,2.0,5.0,4.42,2868.99
4.0,215.0,4.0,12.5,3.0,2.4,8,15.0,1.0,7.0,1.26,1713.37
2.0,461.0,0.0,15.6,3.0,2.7,12,30.0,2.0,5.0,2.26,1099.0
2.0,430.0,3.0,15.6,3.0,2.0,4,15.0,1.0,2.0,2.0,415.0
11.0,122.0,1.0,15.6,3.0,2.8,8,4.0,2.0,5.0,2.4,1142.8
2.0,382.0,4.0,14.0,3.0,2.7,8,15.0,2.0,5.0,1.3,1193.0
2.0,299.0,1.0,15.6,3.0,2.8,16,17.0,2.0,5.0,2.5,1600.0
2.0,421.0,3.0,15.6,0.0,1.6,4,9.0,1.0,5.0,2.65,309.0
4.0,180.0,3.0,15.6,3.0,1.8,8,4.0,1.0,5.0,2.02,855.0
16.0,328.0,3.0,15.6,0.0,2.3,8,15.0,1.0,5.0,2.2,1119.0
7.0,22.0,3.0,15.6,3.0,3.0,6,15.0,0.0,5.0,1.95,649.0
16.0,307.0,3.0,14.0,0.0,2.1,4,3.0,1.0,5.0,1.75,499.0
4.0,209.0,4.0,15.6,3.0,1.6,8,15.0,1.0,5.0,1.88,1096.16
10.0,446.0,0.0,14.0,3.0,2.4,4,15.0,1.0,5.0,1.74,629.0
0.0,50.0,3.0,15.6,0.0,2.5,6,9.0,1.0,5.0,2.23,549.0
10.0,364.0,3.0,15.6,13.0,3.1,32,11.0,2.0,5.0,2.5,4899.0
0.0,47.0,3.0,17.3,3.0,1.6,8,15.0,2.0,5.0,3.0,854.0
10.0,454.0,0.0,10.1,4.0,1.44,4,32.0,1.0,5.0,0.69,646.27
7.0,29.0,3.0,17.3,3.0,2.5,6,21.0,0.0,5.0,2.71,655.01
7.0,80.0,2.0,12.5,0.0,2.6,8,15.0,1.0,5.0,1.26,1389.0
7.0,239.0,1.0,17.3,3.0,2.8,16,17.0,2.0,5.0,3.35,1379.0
4.0,265.0,5.0,15.6,13.0,2.8,8,15.0,2.0,5.0,1.78,2712.0
2.0,422.0,3.0,15.6,3.0,2.0,4,9.0,1.0,2.0,2.0,389.0
0.0,95.0,3.0,15.6,0.0,2.5,4,25.0,1.0,5.0,2.4,559.0
10.0,144.0,3.0,15.6,3.0,2.5,6,15.0,2.0,5.0,2.4,695.0
10.0,149.0,3.0,15.6,0.0,1.1,4,9.0,1.0,5.0,2.2,306.0
7.0,276.0,3.0,14.0,3.0,2.5,8,15.0,1.0,5.0,1.95,980.0
4.0,174.0,3.0,15.6,3.0,1.6,8,15.0,0.0,5.0,2.13,728.0
2.0,115.0,1.0,15.6,3.0,2.8,8,4.0,2.0,5.0,2.5,1265.0
10.0,62.0,3.0,15.6,3.0,2.5,8,1.0,0.0,7.0,2.32,895.0
4.0,416.0,3.0,15.6,0.0,2.0,4,9.0,0.0,5.0,2.18,614.0
0.0,73.0,3.0,15.6,3.0,1.5,4,6.0,1.0,1.0,2.2,359.0
10.0,147.0,3.0,15.6,3.0,3.6,6,15.0,0.0,5.0,2.2,597.57
4.0,172.0,3.0,15.6,0.0,1.6,4,25.0,1.0,5.0,2.2,369.0
2.0,433.0,3.0,15.6,0.0,1.6,4,25.0,1.0,5.0,2.2,369.0
0.0,40.0,3.0,15.6,0.0,2.7,4,9.0,1.0,2.0,2.1,367.0
2.0,411.0,4.0,15.6,3.0,2.7,8,15.0,2.0,5.0,1.7,1049.9
11.0,118.0,1.0,15.6,3.0,2.5,8,4.0,2.0,5.0,2.2,1119.91
4.0,182.0,0.0,15.6,3.0,2.7,8,15.0,1.0,5.0,2.3,1094.0
7.0,5.0,4.0,15.6,3.0,1.8,8,15.0,1.0,5.0,1.91,659.0
7.0,277.0,3.0,15.6,3.0,2.9,8,15.0,1.0,5.0,2.31,1427.0
7.0,76.0,0.0,11.6,0.0,1.1,8,32.0,1.0,1.0,1.4,495.0
7.0,81.0,3.0,14.0,3.0,2.6,8,15.0,1.0,5.0,1.48,1268.0
4.0,173.0,3.0,15.6,0.0,2.0,4,9.0,1.0,5.0,2.3,418.64
10.0,142.0,3.0,15.6,3.0,2.0,4,9.0,0.0,4.0,2.2,479.0
1.0,225.0,4.0,15.4,11.0,2.2,16,14.0,1.0,3.0,2.04,2139.97
7.0,81.0,3.0,14.0,3.0,2.3,4,25.0,1.0,7.0,1.54,1030.99
7.0,34.0,3.0,15.6,3.0,2.0,4,25.0,1.0,5.0,1.86,397.0
7.0,82.0,3.0,15.6,3.0,2.3,8,15.0,1.0,7.0,1.88,1579.0
4.0,419.0,3.0,15.6,3.0,2.5,8,9.0,1.0,2.0,1.98,726.0
7.0,23.0,3.0,15.6,0.0,1.6,4,25.0,1.0,5.0,2.1,347.0
5.0,220.0,3.0,15.6,0.0,2.3,4,15.0,1.0,5.0,2.3,649.0
16.0,334.0,4.0,14.0,3.0,2.6,8,15.0,1.0,5.0,1.47,1725.0
10.0,367.0,4.0,14.0,3.0,2.3,4,8.0,1.0,5.0,1.7,1096.0
10.0,371.0,3.0,15.6,3.0,2.6,8,15.0,1.0,5.0,2.3,1529.0
12.0,309.0,3.0,14.0,3.0,1.44,2,22.0,1.0,5.0,1.4,239.0
10.0,347.0,5.0,15.6,3.0,2.8,8,27.0,2.0,5.0,2.67,1925.0
10.0,165.0,3.0,15.6,3.0,2.0,4,9.0,1.0,5.0,1.85,414.9
0.0,41.0,3.0,15.6,0.0,2.0,4,25.0,2.0,5.0,2.2,469.0
2.0,196.0,3.0,14.0,0.0,1.1,4,22.0,1.0,5.0,1.5,278.0
4.0,440.0,4.0,13.3,3.0,1.8,8,15.0,1.0,5.0,1.2,1449.0
11.0,117.0,1.0,15.6,3.0,2.5,8,4.0,2.0,5.0,2.2,1089.0
7.0,83.0,2.0,12.5,3.0,1.2,8,27.0,1.0,5.0,0.97,1908.0
4.0,207.0,4.0,14.0,3.0,2.8,8,15.0,1.0,2.0,1.6,1099.0
10.0,145.0,3.0,15.6,0.0,2.5,8,25.0,2.0,4.0,2.2,629.0
7.0,34.0,3.0,15.6,0.0,2.0,4,9.0,1.0,4.0,1.86,345.99
0.0,67.0,3.0,14.0,0.0,1.6,4,22.0,1.0,1.0,1.68,349.0
4.0,214.0,3.0,15.6,3.0,2.4,8,15.0,1.0,7.0,2.09,1062.95
0.0,43.0,3.0,15.6,0.0,1.1,4,9.0,1.0,5.0,2.1,348.0
4.0,180.0,3.0,15.6,3.0,1.6,8,4.0,0.0,5.0,2.33,844.0
14.0,63.0,1.0,17.3,13.0,2.9,32,11.0,2.0,5.0,3.49,6099.0
10.0,148.0,3.0,15.6,0.0,2.2,4,3.0,0.0,5.0,2.2,349.0
11.0,136.0,1.0,17.3,3.0,2.8,16,17.0,2.0,5.0,3.78,2499.0
10.0,152.0,3.0,15.6,3.0,2.3,4,25.0,1.0,5.0,2.2,535.0
7.0,80.0,4.0,12.5,3.0,2.5,8,15.0,1.0,7.0,1.26,2296.95
10.0,229.0,2.0,11.6,0.0,1.6,4,3.0,1.0,5.0,1.4,475.0
10.0,375.0,4.0,12.5,3.0,2.7,8,15.0,1.0,5.0,1.36,1584.0
4.0,192.0,3.0,17.3,3.0,1.8,16,27.0,2.0,5.0,2.77,1549.0
4.0,440.0,4.0,13.3,3.0,2.5,8,3.0,1.0,5.0,1.29,899.0
4.0,177.0,0.0,13.3,3.0,1.8,8,9.0,1.0,5.0,1.62,839.0
16.0,251.0,4.0,13.3,3.0,2.7,32,27.0,1.0,5.0,1.05,2799.0
0.0,40.0,3.0,15.6,0.0,3.0,4,15.0,0.0,5.0,2.1,451.0
7.0,21.0,3.0,15.6,3.0,2.5,8,4.0,2.0,5.0,2.2,1099.0
10.0,405.0,3.0,15.6,3.0,1.8,8,15.0,1.0,5.0,2.05,880.0
10.0,388.0,3.0,15.6,0.0,2.0,4,9.0,1.0,4.0,1.9,339.0
2.0,434.0,3.0,15.6,0.0,1.6,4,25.0,1.0,5.0,2.2,369.0
7.0,84.0,0.0,13.3,3.0,2.5,8,15.0,1.0,5.0,1.28,2277.0
7.0,279.0,3.0,13.3,3.0,1.8,16,27.0,1.0,5.0,1.49,1197.0
4.0,188.0,1.0,15.6,3.0,2.8,8,9.0,2.0,2.0,2.62,929.0
4.0,416.0,3.0,15.6,0.0,2.0,4,9.0,1.0,5.0,2.18,558.6
10.0,161.0,1.0,15.6,3.0,2.1,16,29.0,0.0,5.0,2.5,999.0
16.0,307.0,3.0,15.6,3.0,2.5,8,25.0,1.0,5.0,2.0,860.0
7.0,80.0,4.0,12.5,0.0,2.4,8,15.0,1.0,7.0,1.26,1895.0
10.0,217.0,1.0,15.6,3.0,2.8,4,9.0,2.0,5.0,2.4,999.0
4.0,201.0,2.0,11.6,0.0,1.1,4,3.0,1.0,5.0,1.63,744.0
7.0,281.0,3.0,15.6,3.0,2.5,8,15.0,2.0,5.0,2.04,889.0
10.0,358.0,0.0,13.3,3.0,2.7,8,27.0,1.0,5.0,1.37,2025.0
2.0,290.0,1.0,17.3,3.0,2.5,8,4.0,2.0,5.0,2.73,1770.0
2.0,195.0,3.0,17.3,3.0,2.5,8,20.0,2.0,5.0,2.69,891.0
11.0,109.0,1.0,15.6,3.0,2.8,16,17.0,2.0,5.0,2.4,1799.0
0.0,70.0,2.0,11.6,0.0,1.6,4,22.0,1.0,1.0,1.25,297.0
11.0,137.0,1.0,17.3,3.0,2.8,16,29.0,2.0,5.0,4.14,2499.0
2.0,435.0,3.0,15.6,3.0,2.5,4,4.0,0.0,5.0,2.2,575.0
7.0,274.0,3.0,15.6,3.0,1.6,4,25.0,1.0,5.0,2.1,722.0
16.0,326.0,3.0,14.0,0.0,2.3,4,3.0,1.0,5.0,1.75,1020.0
10.0,450.0,0.0,13.3,12.0,2.5,16,27.0,1.0,5.0,1.3,1499.0
7.0,85.0,4.0,14.0,3.0,2.7,8,15.0,1.0,5.0,1.36,1750.0
11.0,111.0,1.0,17.3,3.0,2.6,8,4.0,2.0,5.0,2.9,1511.19
4.0,440.0,4.0,13.3,12.0,1.6,8,15.0,1.0,5.0,1.23,1869.0
10.0,370.0,3.0,14.0,3.0,2.5,8,8.0,1.0,5.0,1.7,1364.0
7.0,84.0,0.0,13.3,3.0,2.5,4,15.0,1.0,5.0,1.28,1799.0
7.0,274.0,3.0,15.6,0.0,2.4,4,15.0,1.0,5.0,2.04,769.99
4.0,180.0,3.0,15.6,3.0,1.8,16,19.0,0.0,5.0,2.2,1219.24
2.0,271.0,3.0,15.6,3.0,2.5,8,15.0,1.0,5.0,2.37,1099.0
7.0,280.0,3.0,14.0,3.0,1.8,8,27.0,1.0,5.0,1.63,1084.0
4.0,416.0,3.0,15.6,0.0,2.4,4,3.0,1.0,5.0,2.18,547.0
2.0,469.0,4.0,14.0,3.0,2.7,8,27.0,1.0,5.0,1.1,1873.0
0.0,47.0,3.0,17.3,3.0,1.6,4,15.0,2.0,5.0,3.0,805.0
10.0,400.0,3.0,15.6,0.0,2.0,4,25.0,1.0,4.0,1.9,450.0
4.0,190.0,1.0,15.6,3.0,2.8,8,4.0,2.0,5.0,2.62,1159.0
4.0,440.0,4.0,13.3,12.0,2.4,8,15.0,1.0,2.0,1.23,1099.0
