id,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
268,Dell,Inspiron 5567,Notebook,15.6,1366x768,2.7,8,1TB HDD,AMD,Windows 10,2.36,749.0
347,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,1366x768,1.1,4,1TB HDD,Intel,Windows 10,2.0,449.0
353,Toshiba,Portege Z30-C-1CW,Notebook,13.3,1920x1080,2.3,8,256GB SSD,Intel,Windows 7,1.2,1460.0
578,Dell,Alienware 17,Gaming,15.6,3840x2160,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,4.42,2868.99
42,Dell,Latitude E7270,Ultrabook,12.5,1920x1080,2.4,8,256GB SSD,Intel,Windows 7,1.26,1713.37
867,Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,2.7,12,512GB SSD +  2TB HDD,Nvidia,Windows 10,2.26,1099.0
1136,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,2.0,4,256GB SSD,Intel,Linux,2.0,415.0
609,MSI,GP62M 7RDX,Gaming,15.6,1920x1080,2.8,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.4,1142.8
474,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,2.7,8,256GB SSD,Nvidia,Windows 10,1.3,1193.0
838,Asus,Rog GL553VE-FY052T,Gaming,15.6,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.5,1600.0
851,Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),Notebook,15.6,1366x768,1.6,4,1TB HDD,Intel,Windows 10,2.65,309.0
904,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1.8,8,128GB SSD +  1TB HDD,Intel,Windows 10,2.02,855.0
355,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,1366x768,2.3,8,256GB SSD,Intel,Windows 10,2.2,1119.0
44,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,1920x1080,3.0,6,256GB SSD,AMD,Windows 10,1.95,649.0
36,Toshiba,Satellite Pro,Notebook,14.0,1366x768,2.1,4,128GB SSD,Intel,Windows 10,1.75,499.0
971,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1.6,8,256GB SSD,Intel,Windows 10,1.88,1096.16
938,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,1920x1080,2.4,4,256GB SSD,Intel,Windows 10,1.74,629.0
718,Acer,Aspire E5-575,Notebook,15.6,1366x768,2.5,6,1TB HDD,Intel,Windows 10,2.23,549.0
518,Lenovo,Thinkpad P51,Notebook,15.6,3840x2160,3.1,32,1TB SSD,Nvidia,Windows 10,2.5,4899.0
1126,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,1.6,8,256GB SSD,Nvidia,Windows 10,3.0,854.0
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,1.44,4,64GB Flash Storage,Intel,Windows 10,0.69,646.27
772,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,1920x1080,2.5,6,2TB HDD,AMD,Windows 10,2.71,655.01
1001,HP,EliteBook 820,Netbook,12.5,1366x768,2.6,8,256GB SSD,Intel,Windows 10,1.26,1389.0
330,HP,Omen 17-W295,Gaming,17.3,1920x1080,2.8,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,3.35,1379.0
66,Dell,Precision M5520,Workstation,15.6,3840x2160,2.8,8,256GB SSD,Nvidia,Windows 10,1.78,2712.0
829,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,2.0,4,1TB HDD,Intel,Linux,2.0,389.0
